NU_INSCRICAO;TP_SEXO;NU_IDADE;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;SG_UF_RESIDENCIA;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
10000035;M;16;3526829;Município 68;MA;2;2;0;ESC00094;345.1773139444306;681.2751609329836;433.61967906814414;498.4615398428748;675.1117941861671
10000036;M;23;5761021;Município 78;PI;1;2;0;ESC00035;604.2244605758415;433.9944245290106;478.876346085648;368.7562987252576;399.92863681512887
10000037;F;23;2052937;Município 50;SE;1;2;0;ESC00168;611.2437484598601;502.75810116326033;535.7621086897809;455.64573660644106;733.383006461166
10000038;F;15;4793577;Município 70;PE;1;2;0;ESC00068;362.9113837598722;526.4549163002345;409.5757402291396;525.6353541576807;622.7278132679535
10000039;F;18;8639787;Município 22;SC;1;2;0;ESC00091;455.5392844657861;529.3928607072947;463.53582236761883;419.3979885399789;409.1582435938933
10000040;F;24;8072166;Município 85;MS;1;2;0;ESC00114;459.16497337326444;273.4824360787495;366.1363155486954;752.1787300310373;632.7219258152616
10000041;M;16;8383731;Município 27;PR;1;1;0;ESC00049;466.31153295762164;461.65598544695126;512.2132118257247;559.5350727837665;573.8663302870632
10000042;M;19;6448986;Município 45;RJ;1;2;0;ESC00064;478.11394952520817;583.2508716773451;584.7122432236089;542.0042095637842;731.9981151910001
10000043;F;15;2447001;Município 9;TO;2;2;0;ESC00127;613.3167652506188;678.2791202375629;494.59452576159265;386.0198873342831;735.2427081345708
10000044;M;17;1616119;Município 82;MS;2;2;0;ESC00175;550.707926761369;487.9356110696222;580.1103112100116;427.5544859333766;854.665787631202
10000045;M;23;7614014;Município 35;MG;1;1;0;ESC00039;328.4490697605314;420.1634260732891;436.78179486886313;550.3668124240601;566.5290200913361
10000046;M;16;3538802;Município 19;SP;1;1;0;ESC00124;516.8935184373822;406.39666085635;501.2070803083354;455.2869388627716;653.9685987676341
10000047;M;19;1598265;Município 43;RO;1;2;0;ESC00086;475.08208706509504;457.584277354682;421.09226096554306;359.62375048884087;545.3320354972453
10000048;M;15;7937654;Município 73;AC;1;1;0;ESC00136;304.8622697063113;561.8816580776415;560.7979469104092;515.4401576219706;455.6933754391059
10000049;M;15;1014253;Município 31;AM;1;1;0;ESC00165;374.8464231892771;453.0464310931232;562.8914429568428;350.1766936692037;874.9962592678463
10000050;F;15;6448986;Município 45;PA;1;2;0;ESC00178;506.23206106898607;430.7004715061966;479.15565461845006;557.6293455398702;633.8673854474989
10000051;M;22;7902533;Município 63;DF;1;2;0;ESC00039;533.5784579218026;593.6826284911657;392.1451255793023;149.33315425920864;635.0501352354536
10000052;M;18;2726502;Município 23;PR;1;2;0;ESC00063;568.9670344353783;232.77098193895463;451.8020681214237;374.0905843998237;655.0598544125106
10000053;F;21;3050986;Município 65;SC;1;2;0;ESC00113;508.6768263809617;357.1807711102085;642.8621495445964;621.2570165887803;319.69963443834166
10000054;M;15;9865606;Município 89;SP;1;1;0;ESC00119;563.6768971380857;593.8418541523563;391.2339642251978;456.75373758193325;546.3349278484629
10000055;M;19;6730704;Município 52;AM;2;2;0;ESC00126;409.68459441524874;644.4760362010029;774.2270251299515;485.99771399851664;701.4889706952516
10000056;M;15;8639787;Município 22;MT;1;2;0;ESC00191;323.7216502280698;488.0865904246089;428.26441266380914;187.0026298022009;501.3497136592248
10000057;F;24;7079097;Município 8;RR;1;2;0;ESC00145;466.0361831778501;434.5052765892969;502.9016443930346;576.8270967240773;580.2560350706838
10000058;F;20;3538802;Município 19;BA;1;1;0;ESC00165;369.8080152360508;378.95257934227845;495.1371484120652;356.2860898841061;199.2277989948164
10000059;F;15;3538802;Município 19;RO;1;2;0;ESC00114;380.1826020339279;453.5283854960042;520.9595335984274;440.6307484200452;786.5488899235274
10000060;M;18;6456393;Município 67;RN;1;2;1;ESC00026;358.03076593070097;498.68447595481166;555.7976844578973;488.36378909179314;719.1727068643487
10000061;F;18;1661309;Município 42;GO;2;2;0;ESC00129;551.6613254369545;561.2002085443752;464.5468294462952;578.6340542515039;547.4483513636234
10000062;M;19;6528453;Município 18;RJ;1;1;0;ESC00020;360.9506754340853;396.6769552220007;537.9249426032937;443.3656791553947;602.2212328271694
10000063;F;22;5440239;Município 58;MA;1;1;0;ESC00072;437.47599337984906;464.0208152563975;602.8401998940435;620.6198183721908;444.74734162651276
10000064;F;19;8639787;Município 22;SE;1;2;0;ESC00113;591.1806401576778;551.8522403362117;458.79162494418347;738.0008620627223;714.5516067974322
10000065;M;19;9708150;Município 28;RO;2;1;0;ESC00077;506.38297254448435;623.118792736608;566.4152628420327;468.67768824511825;555.1990011334536
10000066;M;23;5975503;Município 56;RN;2;2;0;ESC00114;433.43141450956887;525.2868897705757;651.7314739815058;487.4751868668095;801.2773113452001
10000067;F;17;5233363;Município 14;AL;1;2;0;ESC00155;546.0641894780555;495.5189584775586;521.9363982971382;416.1680653795677;332.5038102141166
10000068;M;17;7589212;Município 99;ES;2;1;0;ESC00036;597.8861468847106;687.2906760928713;740.6190313711982;713.9751661590212;673.7313640808617
10000069;M;15;1114557;Município 71;RS;1;2;0;ESC00138;318.01383361877106;453.0907474326314;511.8338656684651;373.9660658287767;704.5838797361478
10000070;M;18;1037369;Município 57;MA;1;2;0;ESC00053;483.8464474544375;471.90395038131504;397.99878520968775;490.65839809749434;816.0962959679176
10000071;F;17;1696929;Município 34;RO;1;2;0;ESC00016;520.4871085067759;420.1647351489605;424.7263572277157;535.7911669144478;393.04247295245693
10000072;F;15;9850005;Município 81;CE;1;2;0;ESC00121;482.31934451053024;485.77099741798827;435.40355980226406;450.53492930587305;828.9415343494989
10000073;M;22;7296975;Município 7;RR;1;2;0;ESC00152;283.13846719213143;439.16507134518054;504.73143678644936;505.43929688303456;548.4169894194134
10000074;M;20;3303992;Município 2;AC;1;2;0;ESC00150;530.6681346693163;582.3749644711239;657.2472598062832;441.3654522440245;410.81337790901904
10000075;M;15;9089832;Município 39;DF;1;2;0;ESC00022;343.87918616983393;377.77821875176943;530.055535990016;762.0781559823323;472.0290496154646
10000076;M;15;8522842;Município 44;PB;1;2;0;ESC00183;613.5337408176223;410.4378430290725;559.1222160935845;265.2758714318608;699.5150024097974
10000077;F;15;9765637;Município 25;SC;2;2;0;ESC00094;393.41440043740363;616.5655666674583;677.7810796249183;495.6298627003491;830.4343909088625
10000078;F;20;2726502;Município 23;MA;1;2;0;ESC00168;576.3100451370185;520.8798283576796;570.4806416878188;461.33706074947736;759.1727673700216
10000079;M;18;7130741;Município 13;SE;1;1;0;ESC00168;633.6137911615145;385.09204166248395;591.5709261060489;135.46892637965306;500.92845071478445
10000080;M;17;3526829;Município 68;MT;1;2;0;ESC00050;448.140085772645;488.4832637136971;600.7599590593361;525.6464680294653;456.3030288097887
10000081;M;16;3394191;Município 64;PA;2;1;0;ESC00053;491.2810217198511;575.4238099502165;603.9862875137396;671.0402822411517;965.6234878972728
10000082;F;19;6448986;Município 45;DF;1;1;0;ESC00068;398.22780866425956;420.95563069826574;410.0152784823451;97.81852786771202;525.7509346019414
10000083;M;22;4691137;Município 93;RR;1;1;0;ESC00087;301.5044302298496;430.4344969981212;393.75777628580636;380.9891917608232;976.3795294823805
10000084;F;24;7718838;Município 95;SE;2;2;0;ESC00087;630.4776257183848;536.3325653174286;589.781797071408;323.3782154340686;507.1892863140051
10000085;F;19;8639787;Município 22;RO;2;2;0;ESC00176;605.0463272231084;482.2479658252941;532.4872547289334;800.6685978577001;737.4390543033737
10000086;M;20;5126851;Município 20;GO;1;1;0;ESC00041;446.418219563418;472.2445988422327;645.2100259130036;628.7001738553324;614.6637510085042
10000087;F;15;6226817;Município 61;PA;2;1;0;ESC00096;309.49960068197333;413.08438339656306;651.5380720387548;660.7709714282438;569.9835694206361
10000088;F;15;1400651;Município 59;AM;2;1;0;ESC00158;564.9903843579814;494.98530363061843;718.1383353793136;522.7066129743303;814.371520115481
10000089;M;21;9708150;Município 28;SE;2;2;0;ESC00165;607.256666960052;462.824332829644;471.19556304356905;647.7937497022433;787.1279982692106
10000090;F;18;9232150;Município 11;GO;1;1;0;ESC00001;518.6130929446963;497.1970653077924;319.324106426692;510.76268264817065;550.2821209640787
10000091;F;19;1661309;Município 42;BA;1;1;0;ESC00016;527.764604175342;449.2300659196049;548.4198412342678;320.263434338745;581.7185595339615
10000092;M;23;2640678;Município 97;RJ;1;1;0;ESC00179;318.4992184003497;603.0261606481212;251.3834240031145;484.9224210676563;821.6449981514228
10000093;M;17;4004559;Município 79;MT;1;1;0;ESC00169;507.85097480678377;611.7158083278133;451.3323600727026;496.7131950274023;331.12920236343854
10000094;M;16;6307081;Município 48;SC;1;2;0;ESC00195;376.5318457961704;308.16470058004256;514.7605200085505;477.62532102108474;817.2355622585677
10000095;F;17;5196914;Município 33;SP;2;1;0;ESC00160;519.2820501564058;686.0704472296725;644.2546148604725;410.8079921679895;655.151744700586
10000096;F;15;4245421;Município 5;BA;1;1;0;ESC00017;273.6388879185415;365.9826871352774;607.9805979423351;458.0456896111057;781.6246461679868
10000097;F;22;9470497;Município 46;AC;1;1;1;ESC00155;371.1708956470245;553.8329548989307;669.9361420629123;639.0905896924119;334.6325572476608
10000098;F;21;7067436;Município 80;PE;1;2;0;ESC00186;470.63484368706014;376.94973864012746;452.990388152617;362.38128455558456;526.1370841183013
10000099;M;19;5843764;Município 91;MT;1;1;0;ESC00148;473.74103743249367;497.2847968541281;461.6555100423204;378.8857882889856;407.7508938980036
10000100;M;16;1215963;Município 72;AL;2;2;1;ESC00060;736.2028774634672;532.9170148756119;641.1440350723789;553.3124666656822;742.5595012425359
10000101;M;22;7718838;Município 95;PE;2;2;0;ESC00198;698.919380848473;533.9630455560692;635.8029778655674;612.5222176835265;295.4953884058555
10000102;F;15;2726502;Município 23;CE;1;2;0;ESC00040;327.21863247118074;529.3721618744272;465.25873775751325;374.44687075300226;522.1682931083842
10000103;F;21;1229480;Município 17;AC;1;1;0;ESC00062;537.5357531309191;520.0882727609169;371.15531598832973;488.5981004087707;532.0774159843902
10000104;F;15;8072166;Município 85;GO;1;2;0;ESC00020;392.8701374301675;509.49742845933275;557.3485525481182;427.84283980376875;490.0416747794598
10000105;F;17;9765637;Município 25;CE;1;2;0;ESC00135;243.28556893778756;496.1320631964404;524.7432506169207;289.8940904495417;487.939774548669
10000106;F;21;7718838;Município 95;MG;1;2;0;ESC00018;504.525497066547;465.7095629252869;484.1348730073001;311.0154178425943;950.952144138761
10000107;M;18;6456393;Município 67;RR;1;1;0;ESC00152;477.4021054605861;548.5776610311581;397.43338632210174;686.8726789378181;753.6171147098798
10000108;M;15;3010761;Município 47;RO;1;2;0;ESC00167;411.6398645966584;518.4215354122878;353.9786999199615;399.7880309399814;412.63978180615436
10000109;M;15;1215963;Município 72;PA;2;1;0;ESC00148;471.09134127827593;532.1356024806598;446.20347133104246;401.0673844530638;785.9842692696643
10000110;F;21;1616119;Município 82;PB;1;2;0;ESC00019;477.6481108430046;498.3372253960897;450.0812701620149;621.4876981325103;693.1267804728327
10000111;F;17;7909664;Município 92;TO;1;1;0;ESC00078;495.49070076918457;552.7019006726908;448.3537992992769;437.92786620832885;927.2814972896583
10000112;M;17;7718838;Município 95;AP;1;2;0;ESC00040;427.53462173000855;448.6391289664796;532.0394766412484;446.75350502720977;445.52542333452743
10000113;F;17;9352997;Município 26;TO;1;2;0;ESC00175;624.7052015399127;447.6116717750164;459.75965824601315;474.4491209452708;619.5216938335249
10000114;M;17;3441000;Município 100;ES;1;1;0;ESC00094;438.4546781199506;409.40837044780653;482.56631484077127;620.2120240704742;500.7293940586426
10000115;M;18;1661309;Município 42;SE;2;1;0;ESC00196;520.9058063072569;525.4924664444859;613.8782230066784;401.4514572607849;600.3187825747339
10000116;M;18;6922887;Município 36;DF;1;1;0;ESC00071;521.7224502442921;220.89359426997942;537.2203072083311;586.5003725753621;464.12434091259536
10000117;M;20;7937654;Município 73;CE;1;2;0;ESC00157;414.2056403442669;538.4995394169073;418.6852975693074;360.67378371100267;597.3029889136161
10000118;M;18;2533197;Município 94;TO;2;2;0;ESC00131;553.4682829684223;527.166875744303;379.86659358898373;426.9927329933049;927.4883673036052
10000119;M;15;1661309;Município 42;DF;2;2;0;ESC00164;547.3997150253177;450.71513418195156;638.2082036378032;378.898607112804;743.9632509782277
10000120;M;18;9352997;Município 26;PB;1;2;0;ESC00030;467.98018761918877;554.4167546908961;408.95214578061854;536.5858503663694;542.5757643586929
10000121;F;16;2790176;Município 96;PI;1;1;0;ESC00086;579.481758180751;409.4443056568273;415.29832909223165;662.0784082922941;667.7220140764533
10000122;M;16;6316489;Município 77;TO;1;1;0;ESC00089;413.13396444228636;399.63205834969153;490.1749544444934;577.8873001442312;454.73998353531476
10000123;M;15;4196823;Município 6;PA;2;2;0;ESC00149;445.4260644935498;761.9955755583592;643.0803603560512;611.0829967327015;634.8688917818389
10000124;M;15;4691137;Município 93;CE;2;1;0;ESC00022;536.1737057103545;470.4070627807613;535.400977751211;466.4065234930769;770.7332022728665
10000125;F;17;5975503;Município 56;RR;1;1;0;ESC00164;445.09976077671;547.258429921806;450.5753986665587;602.4717027081024;581.5919603066011
10000126;M;19;5233363;Município 14;PA;1;1;0;ESC00058;477.10423753721034;712.8179752591907;469.0519423113069;524.5764598479843;336.3952887833542
10000127;F;21;1306841;Município 49;RJ;1;1;0;ESC00117;592.61945895755;548.3527719785111;523.9553619636574;441.76267475730316;905.3054578401982
10000128;F;20;7797984;Município 55;AC;1;2;0;ESC00159;587.4511984642688;489.2780296492004;404.24987269520363;352.2309616844021;845.6447277306437
10000129;M;20;3397644;Município 10;RR;1;2;0;ESC00063;473.207541098058;564.9243909951942;429.46898231813486;387.8932871601264;699.5008286992107
10000130;F;17;3010761;Município 47;PR;1;2;0;ESC00061;257.937568024234;311.649029109796;505.50280444989835;480.732718036674;587.8311669541317
10000131;M;15;7296975;Município 7;GO;1;1;0;ESC00085;530.6846888121821;509.13476870766965;378.70359764841544;528.8926183894862;727.7228576715362
10000132;M;24;1306841;Município 49;ES;1;2;0;ESC00173;415.16656754911264;346.4861477457211;480.8513604273691;532.7841615424533;371.4748454699645
10000133;M;20;7171329;Município 75;PR;1;2;1;ESC00140;480.36218777896283;541.4513690245066;465.1751003333671;345.0025038772992;490.7242098561243
10000134;F;18;4026055;Município 1;MA;1;1;0;ESC00111;463.3309078341459;663.2377470045537;452.18028711329924;360.87294859945655;589.189206640911
10000135;F;17;2157217;Município 30;RJ;1;2;0;ESC00097;541.4655931091964;437.4201599690156;436.3810919650911;441.5322932327384;322.10779947120153
10000136;M;19;3221202;Município 84;RO;1;2;0;ESC00128;422.1340784502893;471.44398873283706;490.27263076735466;494.3787820350645;511.84429553282206
10000137;F;16;6226817;Município 61;AM;1;1;0;ESC00009;506.65798321770046;472.1582941620491;488.99611238762543;378.410500713481;751.8380560112847
10000138;F;15;9089832;Município 39;SE;1;1;0;ESC00035;495.3614953097817;443.53811084762566;464.34482608429136;381.9358635127909;624.5737529685033
10000139;M;20;5233363;Município 14;AP;1;1;0;ESC00060;661.6230297544411;459.5562273884289;417.691693821022;265.68255018248965;667.2750334849136
10000140;M;17;6456393;Município 67;AC;1;1;0;ESC00071;229.14778355562652;339.13969621255796;520.9704369272446;398.6103815030368;360.6826011343211
10000141;M;17;3221202;Município 84;BA;1;2;0;ESC00108;434.8900773788096;444.21030015914044;445.0950840657445;612.4704562800792;470.739687714452
10000142;F;17;2726502;Município 23;AL;1;2;0;ESC00164;535.2103015358904;408.6185301132063;635.4510886560192;347.5841563924499;695.2969753200458
10000143;M;23;1014253;Município 31;RS;1;2;0;ESC00122;468.5437264577779;534.6573714273998;513.567046493465;415.24410372886956;660.1696359838354
10000144;M;18;7909664;Município 92;AL;1;2;0;ESC00085;571.363799384909;582.9856273126693;478.64118347352155;472.4584007818147;798.2626889035516
10000145;F;21;6226817;Município 61;ES;2;1;0;ESC00158;698.4824580024119;596.8675973681392;635.101817087108;690.3895528295595;597.6457632878537
10000146;M;18;5196914;Município 33;PB;2;1;0;ESC00008;520.3143847200217;792.755778272389;569.6480199627377;496.7706365992984;634.8256382292603
10000147;M;18;5521643;Município 74;CE;1;1;0;ESC00002;525.8814611151673;441.882674170296;589.1655598557987;458.6917705853902;445.83883015159205
10000148;M;15;3050986;Município 65;CE;2;2;0;ESC00069;595.881500524666;478.58562185026665;653.8294411295564;425.58902145873225;814.5074072887894
10000149;M;15;8522842;Município 44;PA;2;1;0;ESC00162;517.24051523548;697.1677278233215;627.7424867616843;374.0611714432631;678.4006130759121
10000150;F;19;6456393;Município 67;PI;2;2;0;ESC00048;715.3883522692379;685.5679373402569;541.044543230264;402.5655665983998;726.618789699797
10000151;F;19;7130741;Município 13;RJ;1;2;0;ESC00013;293.12125387688377;353.5044005129805;483.73451110566646;398.9010002900032;536.9861912286631
10000152;F;15;7718838;Município 95;DF;1;2;0;ESC00032;429.83943780659314;381.5820649311249;593.2325220106916;466.1736644510607;789.7791513158453
10000153;M;15;5521643;Município 74;GO;1;1;0;ESC00140;340.65588791374864;363.59857451409096;502.97960831418237;341.26024183427006;503.0025705482016
10000154;M;15;3148069;Município 4;GO;1;2;0;ESC00043;396.18992515498627;532.5237329904536;545.52790154327;249.89462869774619;704.6920666675005
10000155;M;17;1590707;Município 38;RS;1;1;0;ESC00098;433.69964078385647;448.3321106370522;405.91103371865853;569.0961789130157;478.25050451255356
10000156;M;16;7909664;Município 92;PR;2;1;0;ESC00020;610.5784688859198;611.3663843432319;752.2366318609045;486.88698457050464;539.8869641333881
10000157;M;15;3526829;Município 68;SE;1;1;0;ESC00157;306.3130564265861;487.13515265033664;598.6078301823486;535.8529931403649;535.4225299010373
10000158;F;21;3148069;Município 4;GO;2;2;0;ESC00021;645.4267298322134;521.5989274718834;511.9326459729253;595.9388293828039;448.6859520006208
10000159;F;18;2885187;Município 83;BA;2;1;0;ESC00052;523.3041345102192;532.7087951158289;442.9803285687783;584.1792492460842;460.78151364033806
10000160;M;15;3394191;Município 64;PB;2;1;0;ESC00110;559.1793414980323;517.4272958485777;670.1669977452898;349.5703331445965;918.186120886033
10000161;M;22;5975503;Município 56;RN;1;2;0;ESC00044;536.218198568661;679.1813197922488;389.2514876622589;502.57344241539096;609.1771072950231
10000162;F;22;3186484;Município 21;RN;1;1;0;ESC00048;539.458810639664;433.9057230195244;461.4086532684916;299.6413480678617;658.3499242498431
10000163;F;17;1215963;Município 72;PI;1;1;0;ESC00191;476.75729738270155;510.5036188446501;597.1462501116123;390.96785256149644;544.4719507237071
10000164;F;17;3526829;Município 68;RO;2;2;0;ESC00136;466.43212455962816;557.2770493561934;649.0486361313458;688.9288393519421;1000.0
10000165;M;19;1661309;Município 42;SE;1;2;0;ESC00080;474.62407496571933;485.585755106377;341.8819549609765;525.6830037306091;546.7257583732078
10000166;M;20;5371437;Município 54;PE;1;1;0;ESC00012;403.66679443568995;452.6148371118857;465.74755797411734;509.9234441377851;477.88784973355115
10000167;M;19;3394191;Município 64;PE;1;2;0;ESC00190;541.3624533472242;376.18149015971744;519.3460033163562;484.02750212849037;437.82835564526545
10000168;M;15;1629015;Município 41;PR;1;2;0;ESC00066;519.1725532133145;459.15094544798967;524.3640314229799;599.2992309886935;573.6868478708881
10000169;F;15;9865606;Município 89;RN;1;1;0;ESC00131;538.6313171528067;406.353636331771;528.9338443181375;596.4404569254467;644.7298092575944
10000170;M;18;3644347;Município 16;MS;1;1;0;ESC00148;309.8419942184805;722.4323191203421;537.3096067624506;369.51418119736167;660.8913203564671
10000171;F;18;7797984;Município 55;RO;1;1;0;ESC00108;364.22334297802513;439.2756444391126;406.14119791522864;526.5030095608278;715.7355994498614
10000172;F;18;7267367;Município 98;MG;1;2;0;ESC00113;517.279035021589;487.97183606127385;484.31885942351926;349.4664661295085;364.78460247890416
10000173;F;20;3186484;Município 21;MG;1;1;0;ESC00083;375.9780908530469;526.4194082371822;468.2863331246804;413.7718806428176;685.6273742640692
10000174;F;17;4004559;Município 79;ES;1;1;0;ESC00167;225.60940676472327;393.5469807613979;550.3181569319902;382.36758337501624;782.0670596943717
10000175;F;16;5616719;Município 24;AL;1;1;0;ESC00126;378.8417496325652;413.3836621965288;449.723243102868;275.6826578164547;639.1246395737444
10000176;F;21;7718838;Município 95;PR;1;1;0;ESC00011;425.90830522173707;468.6619194343565;497.84808093688196;484.86735901179003;523.2517568349266
10000177;F;19;7093107;Município 86;MA;1;2;0;ESC00067;476.92227300392136;651.3880873518632;423.377658264221;640.1688622908293;596.0481638942019
10000178;F;15;5233363;Município 14;SP;1;1;0;ESC00162;383.4280829864497;511.8651370404541;401.0428261982696;417.33836520074476;473.6788604274753
10000179;M;15;4245421;Município 5;AM;1;1;0;ESC00151;573.5893274712819;431.1728616957915;486.0286078245237;291.211439487834;807.4269612529924
10000180;M;15;1114557;Município 71;TO;1;2;0;ESC00178;433.90941022687275;291.3953203872403;541.5892152798559;475.20332625299466;567.008456472438
10000181;M;22;7937654;Município 73;SP;1;2;0;ESC00170;269.0023642674846;460.91628926277343;571.5429385446355;605.9052018693167;503.9370979353792
10000182;F;18;9865606;Município 89;RO;2;1;0;ESC00112;710.3300352800021;688.9586646828873;597.3856595191669;626.0380305220096;540.8840594864258
10000183;M;19;3303992;Município 2;MT;1;1;0;ESC00191;499.9207444495855;447.2777515067845;391.2513871394391;616.7011739619143;544.9485914926147
10000184;M;18;6528453;Município 18;SC;2;2;0;ESC00136;708.7980515458949;362.7011083042913;615.4240824487985;805.651980642573;542.2951885861564
10000185;F;20;9470497;Município 46;TO;1;1;0;ESC00018;243.47105701154342;518.1235112161486;455.82878897089216;475.8198633900233;675.0092166738195
10000186;F;16;5521643;Município 74;AP;1;2;0;ESC00012;466.6061265380706;345.36046405332695;546.7629511718299;491.68616061714374;899.5232469051266
10000187;M;17;5196914;Município 33;AM;2;1;0;ESC00191;704.9023947356648;555.8691929717576;616.6041055266597;428.6854685109288;816.2461471873953
10000188;F;18;1014253;Município 31;TO;1;2;0;ESC00130;304.6370578691801;455.54051504737134;423.31918305169233;552.3478289849497;673.6733360647969
10000189;F;22;3929404;Município 51;SE;1;2;0;ESC00183;265.0971423667709;360.17012673805436;519.2876849193256;254.36425093954415;818.6395571439209
